temperature,humidity,ph,light_lux,co2_ppm,soil_moisture,crop_type,condition
18.48,58.64,6.55,17896.7,495.48,48.91,Lettuce,optimal
15.35,56.42,5.78,29293.74,582.41,53.13,Lettuce,warning
22.67,60.57,6.96,14920.2,618.74,40.97,Lettuce,optimal
16.67,60.03,6.16,12984.54,505.79,58.0,Lettuce,optimal
18.88,64.94,6.43,30295.28,430.42,72.85,Lettuce,optimal
20.12,46.99,7.07,37030.54,418.25,55.95,Lettuce,warning
24.28,71.14,6.56,16502.85,778.94,60.81,Lettuce,warning
22.69,60.38,6.69,32400.41,420.6,49.75,Lettuce,optimal
21.95,75.41,6.28,25558.05,498.16,54.07,Lettuce,optimal
18.25,57.31,6.27,22255.29,383.11,49.13,Lettuce,warning
18.59,64.55,5.96,36832.13,1062.09,64.91,Lettuce,warning
22.21,65.21,5.99,26553.9,1035.25,67.78,Lettuce,warning
20.06,49.53,6.51,21861.33,1163.16,63.92,Lettuce,warning
18.39,79.14,6.4,16998.05,494.63,45.02,Lettuce,optimal
17.98,52.66,6.23,19174.1,560.1,75.71,Lettuce,optimal
19.78,65.56,6.51,39825.13,493.94,52.03,Lettuce,optimal
24.58,71.84,6.83,17377.26,624.04,67.06,Lettuce,warning
22.78,62.02,6.55,18357.82,1224.33,49.23,Lettuce,optimal
17.65,66.64,6.29,17499.77,540.56,64.18,Lettuce,optimal
18.11,66.28,6.14,24631.94,999.56,46.34,Lettuce,optimal
20.2,59.8,6.51,39682.52,793.75,72.98,Lettuce,optimal
17.51,69.78,7.11,28343.22,899.57,58.81,Lettuce,warning
17.07,72.82,6.83,38075.37,533.52,66.23,Lettuce,optimal
23.66,51.69,6.02,32848.13,1024.06,73.12,Lettuce,optimal
16.53,70.81,6.35,15332.46,575.07,73.88,Lettuce,optimal
20.83,66.78,6.29,36679.61,821.71,73.8,Lettuce,optimal
19.66,60.17,6.5,18589.28,1196.15,56.63,Lettuce,optimal
18.95,71.48,6.11,26335.98,1355.17,63.56,Lettuce,optimal
14.86,78.4,6.79,19756.13,551.0,71.7,Lettuce,warning
17.64,69.17,6.83,32989.94,582.38,51.62,Lettuce,optimal
15.24,73.0,6.01,27619.5,1239.6,72.36,Lettuce,optimal
19.83,78.45,6.26,35782.98,563.36,55.81,Lettuce,optimal
24.84,51.99,6.05,31875.29,1183.37,68.1,Lettuce,warning
19.73,69.1,6.23,19956.71,582.9,75.63,Lettuce,optimal
20.54,62.07,6.09,38074.73,592.22,62.01,Lettuce,optimal
23.16,69.18,5.98,36628.79,1401.53,62.0,Lettuce,warning
21.61,80.97,6.57,14642.67,1038.33,64.14,Lettuce,warning
20.72,70.04,6.83,38882.75,862.73,45.71,Lettuce,optimal
24.01,74.0,6.16,37222.37,1373.16,61.65,Lettuce,warning
21.47,61.3,5.68,20353.86,1291.08,40.15,Lettuce,warning
15.2,61.18,6.75,37302.82,792.71,53.69,Lettuce,optimal
20.82,64.45,6.28,22939.27,546.13,50.03,Lettuce,optimal
18.42,62.0,6.68,20466.79,1029.12,65.44,Lettuce,optimal
14.41,75.43,6.27,38902.62,565.43,61.26,Lettuce,warning
18.59,78.68,6.47,28131.82,488.77,69.57,Lettuce,optimal
15.0,82.66,6.04,15707.71,432.74,60.58,Lettuce,warning
21.91,56.34,6.86,23049.28,973.46,58.19,Lettuce,optimal
20.53,67.33,6.03,16064.88,1332.55,80.74,Lettuce,warning
18.64,54.33,6.54,22592.67,421.73,48.88,Lettuce,optimal
23.74,70.67,6.18,16263.3,633.69,63.61,Lettuce,optimal
15.09,52.58,7.01,16019.22,1104.74,49.11,Lettuce,warning
15.48,51.68,6.86,35279.23,1286.76,53.55,Lettuce,optimal
22.73,56.88,6.04,37013.85,411.94,43.16,Lettuce,optimal
15.1,49.29,6.32,27207.28,835.72,72.82,Lettuce,warning
21.18,58.03,6.32,22451.95,1030.89,48.74,Lettuce,optimal
22.55,62.58,6.46,21686.94,712.54,77.4,Lettuce,optimal
22.1,57.16,6.88,24370.93,1384.25,72.3,Lettuce,optimal
20.49,49.87,6.62,26094.48,1116.42,49.93,Lettuce,warning
15.96,74.01,6.89,25519.23,620.58,50.99,Lettuce,optimal
15.64,77.81,5.95,27606.34,691.33,62.79,Lettuce,warning
20.92,77.96,6.11,10753.5,535.05,78.02,Lettuce,optimal
24.0,71.0,6.88,29662.58,636.56,72.24,Lettuce,optimal
17.76,56.71,6.21,11598.72,557.67,67.71,Lettuce,optimal
15.64,69.55,6.43,21055.28,740.97,54.36,Lettuce,optimal
22.68,56.99,6.62,24422.69,1121.05,76.32,Lettuce,optimal
21.0,55.75,5.97,17191.42,1063.32,43.49,Lettuce,warning
20.72,71.94,6.21,32623.64,527.05,43.94,Lettuce,optimal
21.21,62.76,6.82,23187.09,671.07,73.95,Lettuce,optimal
23.28,76.19,6.14,27393.65,782.67,42.07,Lettuce,optimal
23.38,50.92,6.83,23884.7,603.19,61.23,Lettuce,optimal
20.88,72.64,6.73,28543.71,1175.86,74.97,Lettuce,optimal
17.93,64.55,5.98,39380.82,1481.0,40.81,Lettuce,warning
19.8,83.43,6.21,26785.68,1372.58,42.47,Lettuce,warning
19.49,52.31,7.18,39584.62,1469.93,60.05,Lettuce,warning
24.51,74.22,6.04,34827.08,451.09,63.97,Lettuce,warning
16.48,50.57,6.08,30890.07,803.23,69.2,Lettuce,optimal
12.61,63.09,6.47,33154.44,764.2,65.67,Lettuce,critical
22.17,67.21,6.07,10127.02,1353.73,38.67,Lettuce,warning
22.31,66.37,7.04,34167.21,1454.05,52.31,Lettuce,warning
19.36,63.11,6.41,29222.58,1381.65,80.66,Lettuce,warning
20.82,67.61,6.09,31549.8,679.47,39.66,Lettuce,warning
17.75,58.81,6.6,16293.63,444.18,40.9,Lettuce,optimal
25.69,62.7,6.09,30545.14,654.23,75.39,Lettuce,warning
21.94,54.21,6.16,35933.02,1449.76,59.87,Lettuce,optimal
17.84,58.01,6.93,17727.09,1435.6,64.74,Lettuce,optimal
20.73,58.81,6.19,15183.3,631.75,46.61,Lettuce,optimal
20.75,64.6,6.12,39098.19,1388.5,75.69,Lettuce,optimal
24.32,55.56,6.41,32242.13,1142.59,46.25,Lettuce,warning
23.7,57.51,6.4,26396.88,1055.48,60.64,Lettuce,optimal
13.26,74.61,6.36,14128.29,1366.81,79.06,Lettuce,warning
19.73,73.78,6.62,25718.78,488.1,55.74,Lettuce,optimal
19.01,55.68,6.46,25090.94,517.76,46.67,Lettuce,optimal
20.68,50.11,7.01,24283.32,914.81,63.39,Lettuce,warning
21.97,60.65,6.76,26599.38,651.67,76.29,Lettuce,optimal
22.44,66.46,6.57,35576.41,1167.49,70.9,Lettuce,optimal
21.26,72.11,6.36,33120.39,608.63,76.03,Lettuce,optimal
24.18,53.75,6.64,13912.28,749.22,69.79,Lettuce,warning
16.99,74.86,6.9,26499.57,403.96,49.69,Lettuce,optimal
20.29,84.54,6.92,17832.87,1112.93,63.22,Lettuce,warning
22.21,51.75,6.77,26174.1,1453.4,57.21,Lettuce,optimal
20.25,78.8,5.58,38029.26,1170.47,42.41,Lettuce,warning
13.91,70.55,5.77,27428.05,760.98,59.59,Lettuce,warning
16.93,74.15,6.86,39449.74,1257.93,42.8,Lettuce,optimal
20.62,47.5,5.81,19648.63,949.93,69.42,Lettuce,warning
23.21,58.74,6.59,39804.75,892.21,56.12,Lettuce,optimal
15.29,68.86,6.38,16444.98,523.94,64.82,Lettuce,optimal
19.72,56.0,7.1,14750.02,841.39,77.12,Lettuce,warning
19.89,72.28,6.41,18304.56,1473.26,56.31,Lettuce,optimal
20.65,56.0,6.1,11498.51,1110.56,50.24,Lettuce,optimal
24.77,68.22,7.12,15572.08,1357.32,76.44,Lettuce,warning
21.69,72.17,6.81,28510.7,550.86,42.76,Lettuce,optimal
21.93,64.69,6.5,24309.69,541.54,41.87,Lettuce,optimal
20.5,62.93,6.07,24488.34,487.04,64.01,Lettuce,optimal
17.37,72.09,6.36,23568.48,424.82,41.38,Lettuce,optimal
19.5,60.5,6.66,18381.66,1188.0,74.6,Lettuce,optimal
22.07,54.18,6.57,13807.11,633.74,77.72,Lettuce,optimal
17.75,69.48,6.72,31439.22,1013.43,43.37,Lettuce,optimal
17.41,66.26,6.0,20341.33,439.88,40.06,Lettuce,warning
18.36,51.29,6.72,30693.45,1296.35,48.49,Lettuce,optimal
16.38,50.42,6.47,29860.2,467.55,79.85,Lettuce,optimal
14.99,66.38,6.72,35963.44,1187.19,74.63,Lettuce,warning
16.75,68.25,5.65,37612.68,991.23,70.45,Lettuce,warning
19.65,70.85,6.5,31098.83,502.44,43.73,Lettuce,optimal
15.43,51.37,6.71,16157.72,1487.26,53.5,Lettuce,optimal
15.71,75.57,6.83,25058.64,1040.08,69.02,Lettuce,optimal
18.59,79.7,7.05,29058.15,602.49,69.73,Lettuce,warning
13.67,55.32,6.33,23576.23,1373.22,69.21,Lettuce,warning
20.85,64.53,6.29,21335.21,1499.07,39.53,Lettuce,warning
21.4,65.04,6.38,32150.68,941.29,74.97,Lettuce,optimal
23.54,61.22,6.42,27883.64,1374.84,49.47,Lettuce,optimal
21.08,66.86,6.87,14170.7,1183.7,75.28,Lettuce,optimal
17.31,61.02,6.94,16267.11,1334.45,59.66,Lettuce,optimal
18.8,74.48,6.69,25841.21,820.17,63.41,Lettuce,optimal
13.93,61.82,7.2,17451.72,1130.72,52.24,Lettuce,warning
22.43,55.76,6.52,24296.28,662.32,45.07,Lettuce,optimal
17.42,62.57,6.48,34797.53,866.8,49.05,Lettuce,optimal
20.09,74.29,6.16,14880.35,457.04,66.59,Lettuce,optimal
21.77,67.82,6.56,33795.15,1007.03,72.66,Lettuce,optimal
13.47,56.08,6.3,12626.85,985.65,75.14,Lettuce,warning
17.24,51.37,6.47,38059.77,725.68,56.91,Lettuce,optimal
16.61,52.61,6.78,38691.53,428.93,76.65,Lettuce,optimal
20.18,74.86,6.45,25308.14,958.92,64.23,Lettuce,optimal
16.79,48.88,5.93,30568.85,614.48,65.13,Lettuce,warning
24.49,55.48,6.7,23886.59,1384.58,48.34,Lettuce,warning
17.86,77.6,7.28,30938.39,953.16,62.25,Lettuce,warning
24.76,69.95,6.1,38409.06,1166.46,65.26,Lettuce,warning
16.06,71.03,6.64,29755.94,528.91,64.1,Lettuce,optimal
23.29,45.36,7.11,22866.03,1327.71,69.25,Lettuce,warning
19.88,72.72,6.69,22164.55,759.73,66.86,Lettuce,optimal
21.94,69.12,6.79,22814.31,1315.51,43.14,Lettuce,optimal
21.0,52.98,6.26,21442.04,845.41,70.42,Lettuce,optimal
18.21,58.03,6.36,21349.75,649.2,43.04,Lettuce,optimal
19.74,66.57,6.51,24491.93,810.01,77.46,Lettuce,optimal
20.09,60.34,5.92,19928.51,810.99,58.86,Lettuce,warning
17.99,66.95,6.79,32881.64,1262.43,69.32,Lettuce,optimal
21.02,49.9,5.89,10334.99,1101.39,72.73,Lettuce,warning
18.46,79.71,6.06,38069.15,780.86,44.86,Lettuce,optimal
20.77,55.29,6.49,19466.97,1249.41,63.34,Lettuce,optimal
16.97,68.43,6.77,18889.19,876.93,45.77,Lettuce,optimal
16.28,71.58,5.99,25124.93,1197.25,45.88,Lettuce,warning
18.65,58.17,6.82,24844.84,1237.2,61.05,Lettuce,optimal
14.34,64.12,7.21,27571.71,1300.52,78.4,Lettuce,warning
17.85,62.72,6.0,22246.47,1325.46,76.03,Lettuce,optimal
17.07,59.15,7.04,18163.02,1291.78,57.46,Lettuce,warning
22.68,43.81,6.32,23114.94,1049.17,46.19,Lettuce,warning
20.38,76.43,6.17,12295.32,442.07,68.66,Lettuce,optimal
21.06,70.8,6.48,22168.74,1039.52,61.25,Lettuce,optimal
22.03,53.15,6.59,21255.73,878.05,68.99,Lettuce,optimal
21.83,70.84,6.15,12818.19,1156.07,60.47,Lettuce,optimal
16.29,51.98,5.86,35890.83,628.39,55.62,Lettuce,warning
18.59,58.86,5.84,25391.87,485.58,70.11,Lettuce,warning
16.86,69.43,6.75,29044.57,969.4,54.05,Lettuce,optimal
18.26,70.42,6.99,28736.21,1021.67,69.6,Lettuce,optimal
16.45,54.28,6.56,38066.48,583.66,64.33,Lettuce,optimal
16.47,60.24,6.02,23833.21,1218.17,55.07,Lettuce,optimal
20.8,70.55,6.6,16951.06,823.12,50.36,Lettuce,optimal
22.03,77.32,6.43,35421.01,940.03,62.48,Lettuce,optimal
17.19,67.53,5.71,34629.39,1246.54,70.72,Lettuce,warning
16.85,61.85,6.02,21568.02,512.96,74.65,Lettuce,optimal
18.4,66.64,6.42,24038.84,1053.69,61.56,Lettuce,optimal
23.26,68.22,7.0,36192.42,601.31,76.96,Lettuce,optimal
15.7,72.5,6.42,37251.43,1316.45,71.75,Lettuce,optimal
22.51,58.72,5.96,23063.01,621.63,69.38,Lettuce,warning
16.92,83.1,6.99,35207.74,522.21,75.17,Lettuce,warning
25.32,62.27,6.41,32654.31,602.39,59.29,Lettuce,warning
20.01,55.54,6.5,12478.92,443.19,48.48,Lettuce,optimal
22.22,67.12,7.23,22892.12,770.99,58.99,Lettuce,warning
16.38,56.99,6.2,17061.67,1090.78,67.4,Lettuce,optimal
17.81,53.48,6.59,23180.17,481.01,82.58,Lettuce,warning
15.79,65.27,6.75,17082.83,578.7,44.17,Lettuce,optimal
16.86,58.9,6.85,12168.74,914.18,81.93,Lettuce,warning
22.09,63.21,6.52,28620.35,1001.79,59.03,Lettuce,optimal
19.62,80.68,6.55,15642.54,783.4,55.32,Lettuce,warning
19.07,68.1,6.69,10725.02,835.67,61.9,Lettuce,optimal
17.35,61.26,6.7,13520.85,976.74,49.4,Lettuce,optimal
12.81,50.38,7.23,34413.05,1448.19,56.66,Lettuce,warning
16.39,62.18,6.57,35765.55,514.79,58.87,Lettuce,optimal
17.42,53.63,6.78,23700.82,818.42,52.67,Lettuce,optimal
18.86,75.39,7.0,38245.08,1279.69,52.42,Lettuce,optimal
21.43,58.96,6.08,34461.9,494.26,73.62,Lettuce,optimal
17.63,74.34,6.6,36810.94,1055.38,65.39,Lettuce,optimal
14.37,64.82,6.1,31869.83,921.91,65.5,Lettuce,warning
15.57,51.97,7.06,12318.79,490.89,38.24,Lettuce,warning
23.06,75.51,6.59,18753.91,753.32,68.56,Lettuce,optimal
20.78,56.39,6.49,13465.9,1126.36,70.01,Lettuce,optimal
15.62,52.08,6.36,39234.03,740.11,72.54,Lettuce,optimal
20.83,61.31,5.92,13919.26,1049.84,70.82,Lettuce,warning
20.25,68.15,6.21,39714.22,1262.48,54.18,Lettuce,optimal
22.9,68.08,6.71,32602.97,1311.6,66.33,Lettuce,optimal
13.64,60.01,7.06,16050.08,789.1,52.86,Lettuce,warning
16.29,66.96,6.88,17768.18,501.26,48.85,Lettuce,optimal
22.95,72.71,6.15,34718.37,1342.63,74.7,Lettuce,optimal
24.9,60.91,6.86,23168.01,1335.67,68.78,Lettuce,warning
23.0,67.52,5.92,26626.66,1486.61,73.38,Lettuce,warning
17.81,59.15,6.17,32173.01,1292.14,52.31,Lettuce,optimal
18.53,72.35,6.59,26418.2,1059.01,61.69,Lettuce,optimal
20.57,61.63,7.03,36050.73,1112.06,72.73,Lettuce,warning
16.12,60.89,6.04,16888.77,1194.13,78.42,Lettuce,optimal
14.34,64.32,6.92,16295.0,1000.64,66.67,Lettuce,warning
19.28,52.33,6.23,33237.1,1011.34,43.09,Lettuce,optimal
22.33,49.86,6.69,15460.05,1447.28,52.57,Lettuce,warning
15.82,53.55,6.65,36852.08,1526.25,55.75,Lettuce,warning
17.47,67.06,6.39,27060.94,821.2,54.3,Lettuce,optimal
22.52,46.33,6.72,20768.35,1240.23,46.17,Lettuce,warning
22.68,62.2,6.6,12047.35,1034.06,62.57,Lettuce,optimal
18.94,66.62,6.33,34716.74,727.73,68.07,Lettuce,optimal
17.49,53.99,6.09,19849.62,1238.41,70.22,Lettuce,optimal
21.66,71.82,6.45,14135.62,777.83,58.18,Lettuce,optimal
16.35,58.57,6.42,32403.81,1527.89,80.51,Lettuce,warning
20.82,65.32,6.53,34224.57,525.77,54.48,Lettuce,optimal
21.34,62.47,6.71,28757.33,630.65,55.8,Lettuce,optimal
18.02,50.2,5.91,35071.18,687.56,60.96,Lettuce,warning
15.87,73.81,6.25,22409.17,1325.85,74.74,Lettuce,optimal
18.1,72.49,6.53,24434.68,547.96,41.43,Lettuce,optimal
21.95,67.76,6.2,31614.0,1251.69,45.23,Lettuce,optimal
20.33,52.02,6.65,29879.71,1456.13,37.26,Lettuce,warning
13.72,60.04,6.25,17472.86,1410.14,49.01,Lettuce,warning
13.29,75.4,6.38,33786.13,486.13,60.64,Lettuce,warning
17.38,58.24,6.96,14568.98,989.9,55.15,Lettuce,optimal
16.74,77.86,6.04,29838.25,1460.78,61.94,Lettuce,optimal
25.62,52.62,6.84,18269.8,1199.77,80.61,Lettuce,warning
17.8,69.67,6.24,27194.08,905.14,75.66,Lettuce,optimal
18.8,57.62,6.1,14239.36,611.32,49.72,Lettuce,optimal
23.23,65.91,6.36,14335.31,1297.07,69.15,Lettuce,optimal
16.26,73.47,6.89,12455.6,917.46,60.13,Lettuce,optimal
15.42,79.64,6.81,30741.28,905.35,56.57,Lettuce,optimal
21.96,67.08,6.33,25950.12,1291.84,60.7,Lettuce,optimal
16.08,70.91,6.15,18293.87,598.55,50.7,Lettuce,optimal
21.61,67.42,6.59,36387.36,1380.75,75.81,Lettuce,optimal
18.16,66.6,6.98,33449.76,417.56,43.69,Lettuce,optimal
21.32,79.47,6.21,25016.59,512.42,67.25,Lettuce,optimal
24.43,52.82,6.88,39505.3,637.54,62.02,Lettuce,warning
16.53,72.99,6.65,29305.75,1276.65,55.48,Lettuce,optimal
22.94,64.36,6.36,30675.26,1260.71,52.82,Lettuce,optimal
22.56,79.04,6.3,39949.43,606.43,46.85,Lettuce,optimal
17.2,76.25,7.06,14139.86,853.15,64.34,Lettuce,warning
14.84,76.33,6.81,24618.97,1458.39,55.22,Lettuce,warning
22.81,64.17,6.67,14927.09,1368.0,55.63,Lettuce,optimal
17.37,50.42,6.73,24738.38,1192.06,74.08,Lettuce,optimal
13.57,71.33,6.26,36221.0,1264.57,65.38,Lettuce,warning
22.36,52.38,6.43,35143.67,870.92,57.12,Lettuce,optimal
18.83,76.4,6.38,14788.46,1196.83,74.66,Lettuce,optimal
14.69,64.36,6.12,20316.32,895.54,73.77,Lettuce,warning
18.4,67.59,6.45,34881.86,923.95,79.74,Lettuce,optimal
20.1,53.31,6.4,19686.19,1150.63,42.79,Lettuce,optimal
16.59,79.22,6.33,34108.42,714.57,64.65,Lettuce,optimal
23.41,62.27,6.52,16100.44,393.27,51.48,Lettuce,warning
19.83,79.81,7.04,33192.43,1272.2,68.3,Lettuce,warning
17.24,74.63,6.42,26955.18,487.98,55.82,Lettuce,optimal
16.7,78.82,6.74,21580.65,1447.11,46.69,Lettuce,optimal
20.2,47.04,6.8,37440.09,745.79,76.39,Lettuce,warning
15.83,76.76,6.97,34670.85,426.65,76.83,Lettuce,optimal
22.44,59.31,7.02,19494.1,1340.23,42.85,Lettuce,warning
20.84,68.3,6.31,17391.48,424.89,57.6,Lettuce,optimal
18.88,65.48,6.33,18500.66,1243.34,43.04,Lettuce,optimal
21.96,76.16,6.78,27459.8,1373.51,48.58,Lettuce,optimal
16.2,58.88,6.63,9851.87,1014.67,81.84,Lettuce,warning
22.45,71.26,6.26,34606.51,1071.64,42.06,Lettuce,optimal
14.49,75.89,6.57,34224.42,1378.27,64.65,Lettuce,warning
19.25,59.44,6.02,22600.95,1262.36,61.7,Lettuce,optimal
23.71,59.46,6.44,29185.43,1007.88,68.56,Lettuce,optimal
17.05,70.55,6.24,21166.27,941.11,65.1,Lettuce,optimal
22.09,66.88,6.63,25007.8,1097.12,44.02,Lettuce,optimal
17.29,58.27,6.48,10975.02,567.08,50.67,Lettuce,optimal
23.62,60.86,6.43,15204.64,1082.59,49.29,Lettuce,optimal
13.16,64.8,5.95,10314.11,645.62,40.29,Lettuce,warning
14.86,61.72,6.92,27403.0,976.73,51.31,Lettuce,warning
25.3,59.52,6.16,28277.68,534.53,58.65,Lettuce,warning
18.19,80.36,6.89,30466.71,1506.2,46.72,Lettuce,warning
16.53,65.96,6.67,23022.09,1386.09,69.87,Lettuce,optimal
20.22,60.7,6.57,39875.8,1312.37,38.95,Lettuce,warning
20.41,53.19,6.58,11460.7,1057.3,67.25,Lettuce,optimal
16.29,64.06,6.25,21492.24,555.47,56.67,Lettuce,optimal
19.57,55.84,6.28,20426.05,1415.84,69.47,Lettuce,optimal
19.59,61.02,6.35,10769.17,1087.36,76.04,Lettuce,optimal
20.53,78.17,6.76,13823.95,1431.25,43.23,Lettuce,optimal
16.97,50.22,5.96,22944.61,741.59,59.73,Lettuce,warning
19.83,49.89,5.71,27296.96,767.68,68.66,Lettuce,warning
23.31,67.71,6.44,22196.7,1123.43,50.74,Lettuce,optimal
